Id,Hazard
6,2.89
7,7.19
8,6.43
9,3.07
10,3.03
11,4.23
13,4.64
14,4.13
16,4.09
17,3.1
18,5.17
20,3.18
27,6.66
28,4.22
29,2.85
30,3.24
34,3.25
35,3.89
36,4.7
37,4.62
38,3.75
40,4.35
42,4.76
46,4.23
47,3.9
48,5.13
49,7.0
51,3.92
52,5.79
53,1.67
54,2.61
55,2.5
56,6.15
57,2.92
60,7.14
61,3.04
64,4.64
65,3.95
66,5.01
68,5.68
70,3.1
71,2.52
75,2.69
76,5.44
78,4.88
80,3.45
81,7.25
82,5.06
83,3.8
85,3.36
86,2.34
87,4.0
89,3.34
90,3.68
91,3.24
92,6.11
95,2.89
97,6.54
99,4.17
101,3.36
102,4.8
103,2.07
104,5.06
107,4.72
108,4.05
111,2.93
112,5.1
115,3.02
119,2.39
121,3.86
124,3.83
128,8.14
130,5.66
131,4.94
133,7.04
134,4.81
137,3.1
138,3.78
142,5.54
143,5.23
144,7.89
145,6.47
147,3.04
148,5.91
152,2.44
154,16.13
158,2.2
159,3.99
160,3.94
161,4.27
164,1.67
165,3.12
166,2.92
167,2.58
169,3.57
170,5.64
171,7.59
175,4.57
177,4.13
178,5.78
180,6.2
182,3.5
184,8.7
185,8.25
186,4.83
190,4.1
191,4.03
192,2.54
195,5.45
196,6.8
197,4.39
198,2.2
199,7.21
200,3.61
204,2.64
205,4.64
207,2.99
208,4.04
209,11.7
211,6.43
216,12.16
217,1.92
220,5.02
223,5.41
224,4.28
230,3.43
232,3.15
235,4.16
236,6.98
238,3.39
240,2.4
242,3.14
244,4.51
245,3.39
248,4.0
251,3.84
256,4.01
258,5.53
259,4.44
261,5.55
267,4.86
268,3.55
270,5.03
272,10.42
273,3.39
275,2.35
276,2.24
277,5.81
279,3.39
283,3.77
284,3.93
286,2.39
287,3.91
288,2.91
289,5.09
292,4.75
293,4.38
295,4.44
297,3.14
301,4.66
303,3.6
304,3.1
305,2.06
308,3.1
309,3.76
313,4.15
314,3.58
315,3.86
316,3.06
318,5.95
320,5.34
324,5.03
325,3.85
326,3.07
327,3.18
328,6.14
332,4.24
333,8.13
336,2.12
339,3.79
340,5.6
342,5.83
344,8.26
345,3.52
346,3.24
349,4.44
353,4.15
355,3.93
360,2.55
363,5.26
366,2.92
367,2.52
369,4.03
371,5.36
372,3.94
374,2.51
375,2.56
378,3.84
379,2.2
381,4.42
382,2.8
384,2.61
385,2.29
387,4.67
388,2.25
389,4.04
390,4.87
393,3.69
394,4.85
395,4.07
397,1.75
398,4.01
399,3.91
403,3.18
404,3.06
406,2.79
407,3.17
410,3.38
411,3.03
412,1.71
413,4.82
417,4.05
419,3.84
422,6.57
425,3.89
426,3.09
427,5.43
432,3.19
434,3.78
437,2.96
438,4.3
440,7.89
441,4.75
443,2.83
445,5.2
447,1.92
449,3.68
450,3.96
451,3.63
453,4.73
455,2.54
456,5.0
459,4.47
461,2.32
463,2.76
466,3.37
467,4.17
469,3.15
470,4.61
472,4.76
477,4.16
481,3.42
485,6.1
492,3.17
494,4.56
497,3.53
503,2.59
504,4.07
507,4.94
509,2.81
511,5.67
512,3.45
513,2.67
516,8.38
517,2.03
518,3.52
522,4.43
525,2.72
526,2.3
527,6.72
529,3.23
534,5.78
538,2.94
540,6.81
541,1.27
542,4.54
543,11.47
544,5.61
546,2.49
547,2.85
550,4.1
554,4.05
556,2.88
558,5.54
559,2.91
560,5.46
564,5.19
565,2.39
566,3.96
567,5.94
568,4.14
570,2.42
571,3.37
575,4.17
576,6.91
585,2.18
586,3.66
589,2.56
590,4.29
591,4.52
593,2.36
594,2.55
595,2.85
596,3.84
597,4.12
598,3.59
599,3.45
600,5.11
601,4.41
609,1.95
613,4.39
619,5.82
620,4.03
621,6.17
622,3.46
623,2.82
625,4.6
626,2.7
628,2.85
629,5.18
633,4.35
634,4.33
635,10.28
636,3.32
637,3.91
638,3.09
639,2.64
640,5.58
643,4.63
645,3.93
646,5.04
647,2.52
649,4.21
650,4.86
654,4.19
656,2.3
657,3.38
661,5.93
662,2.7
663,4.0
664,2.31
667,2.97
668,5.23
672,2.56
673,3.09
675,4.17
676,1.77
677,3.03
678,7.48
679,5.3
682,2.69
684,5.12
686,3.12
687,8.67
688,3.97
689,3.22
690,3.41
691,5.02
693,5.77
694,4.48
695,3.0
696,3.49
699,4.11
702,7.02
703,2.41
704,2.07
705,2.15
708,7.52
709,4.57
710,5.52
711,4.74
712,3.67
713,5.52
714,2.99
724,3.89
725,2.87
727,2.19
729,2.59
731,4.93
732,3.5
735,3.86
736,3.07
738,3.45
739,3.08
741,5.44
744,4.32
745,5.75
749,2.87
750,3.68
753,3.47
754,5.64
756,4.4
759,4.96
763,4.45
764,3.61
765,4.95
770,4.29
773,3.42
774,3.4
778,3.03
780,4.17
781,4.61
783,17.68
784,3.19
790,2.99
791,4.84
792,3.76
793,2.28
794,3.84
795,3.11
796,3.46
801,6.19
802,4.17
805,5.15
808,3.16
809,4.43
813,3.9
814,10.39
815,1.41
816,5.88
817,1.65
821,4.6
822,3.94
823,2.93
825,3.67
826,2.92
830,2.55
832,4.24
833,4.09
835,1.86
837,2.9
838,2.8
839,2.45
841,5.06
842,3.53
844,3.57
853,3.15
855,4.44
858,4.38
859,2.5
860,2.79
861,2.4
862,2.01
868,2.61
869,7.02
874,4.82
875,4.02
877,5.4
879,4.19
885,3.99
886,3.79
887,3.92
892,4.05
894,3.87
896,5.6
898,3.26
899,4.51
900,4.58
901,2.9
903,5.54
904,5.26
906,3.62
907,6.44
908,3.21
909,2.56
915,3.88
916,5.52
917,4.22
921,3.12
922,5.07
923,6.46
924,4.34
927,4.95
929,2.51
932,4.13
934,2.21
935,7.41
937,3.78
940,3.01
944,5.7
946,5.27
948,4.23
950,6.19
952,3.66
953,5.74
956,2.35
959,4.44
960,3.94
961,3.46
962,4.93
966,5.1
968,5.54
